,Unnamed: 0,店,日,時台,RECNO,加工ｺｰﾄﾞ,性別,年代,部門,AU,ﾗｲﾝ,ｸﾗｽ,JANｺｰﾄﾞ,商品名,規格名,売上数量,売上金額,見切数量,見切金額,特売数量,特売金額,ﾁﾗｼ,税抜定番売価
60,60,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1140,152,2,3,J0254303000000,串揚げ  ばら売り,,3,164,0,0,3,127,0,98
61,61,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1120,120,0,7,J0280934000000,山形牛小間切れうすぎり,インストア,1,262,0,0,0,0,0,1
62,62,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1120,121,2,7,J0288130000000,国産交雑牛ミックス切り出し,１７０ｇ,1,684,0,0,0,0,0,1
63,63,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1110,110,6,2,J4582247272175,ジャガイモ,,1,197,0,0,0,0,0,198
64,64,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1150,170,1,4,J4582496610223,オランジェ  ミルクレープ・バニラ,１個,1,133,1,34,1,21,0,189
65,65,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1150,173,1,2,J4902410411987,フジ  ぶどうぱん,,1,97,0,0,1,10,0,108
66,66,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1150,170,1,4,J4902751323789,モンテール  ジャージー牛乳のシュー,１個,1,80,1,20,0,0,0,100
67,67,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1110,110,4,2,J4908301334519,ピーマン,１フクロ,1,97,0,0,0,0,0,98
68,68,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1150,170,1,1,J49407815     ,明治  北海道十勝まろやかヨーグルト,７８ｇ×４,1,130,0,0,1,4,0,135
69,69,263,20170921,9,R20170921-20105046,P2PT90GFAJS,女性,70代,1150,164,5,1,J49661910     ,グリコミニセレくるくるソフトバニラ,９０ｍｌ,5,325,0,0,5,23,0,70
70,70,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1140,153,1,3,J0251272000000,焼そば,,1,187,0,0,1,2,0,1
71,71,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1140,153,5,3,J0256101000000,☆サラダ・おかず量り販売,,1,326,0,0,1,5,0,1
72,72,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1120,120,4,3,J0280243000000,黒毛和牛マル芯焼肉用,インストア,1,649,0,0,1,11,0,1
73,73,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1120,120,4,5,J0280261000000,黒毛和牛バラ焼肉用,１２０ｇ,1,1113,0,0,1,17,0,1
74,74,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1120,122,0,7,J0282923000000,牛肉小間切れ,８０ｇ,1,153,0,0,1,2,0,1
75,75,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1120,122,0,7,J0282923000000,牛肉小間切れ,８０ｇ,1,151,0,0,1,2,0,1
76,76,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1210,217,1,6,J4903065031216,ヤマキ  けずり粉,６５ｇ,1,95,0,0,1,1,0,98
77,77,263,20170921,9,R20170921-20105047,P0WQ20GJBDS,男性,70代,1210,217,1,7,J4904071403967,永井海苔  青粉  三河産,１５ｇ,1,95,0,0,1,1,0,98
78,78,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1140,151,3,3,J0252492000000,サラダ巻き（５切）,Ｒ,1,278,0,0,0,0,0,1
79,79,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1210,211,1,4,J45019517     ,大塚製薬  ポカリスエット,５００ｍｌ,1,88,0,0,1,0,0,89
80,80,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1210,211,1,8,J4901777269378,サントリーボスとろけるカフェビター,５００ｍｌ,1,78,0,0,1,11,0,89
81,81,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1210,215,1,1,J4902105245316,日清食品  麺職人  しょうゆ,カップ,1,100,0,0,1,39,0,140
82,82,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1210,215,1,1,J4902105245330,日清食品  麺職人  みそ,カップ,1,100,0,0,1,39,0,140
83,83,263,20170921,9,R20170921-20105048,J6WP50FFHAS,男性,30代,1150,173,1,1,J4903110010357,ヤマザキスナックスティック,９本入,1,138,0,0,0,0,0,138
84,84,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1110,119,8,1,J0219850000000,ブツカ  パツク,,2,738,0,0,0,0,0,475
85,85,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1140,152,1,4,J0257553000000,えび天  ばら売り,,1,197,0,0,0,0,0,198
86,86,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1110,110,6,4,J0400100017777,サツマイモ  バラ  ５Ｋ,ケース,1,97,0,0,0,0,0,98
87,87,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1110,115,8,0,J0400150018236,りんごバラ売り,,1,97,0,0,0,0,0,98
88,88,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,173,1,1,J4901820340443,パスコ  超熟ロール,６個入,1,157,0,0,1,10,0,168
89,89,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,166,3,2,J4902150654163,Ｎニッスイ  コーンクリームコロッケ,８個入,1,168,0,0,1,10,0,178
90,90,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,165,1,1,J4902553010047,ふじっ子  うぐいす豆,１４０ｇ,1,188,0,0,0,0,0,188
91,91,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,169,1,3,J4902720069021,森永  ココアプリズマ,２００ｍｌ,1,75,0,0,0,0,0,75
92,92,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,169,1,3,J4902720116237,森永マウントレーニアエスプレッソ,２４０ｍｌ,1,100,0,0,1,22,0,123
93,93,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,169,1,1,J49408164     ,明治  おいしい牛乳,１２５ｍｌ×３,1,194,0,0,0,0,0,194
94,94,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,162,1,1,J4958293000213,オークワ食品工場  絹とうふ３段,１５０ｇｘ３,1,72,0,0,1,15,0,88
95,95,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,168,1,1,J4958293003887,オークワ  北海道産小麦使用うどん,２００ｇ,2,74,0,0,0,0,0,38
96,96,263,20170921,9,R20170921-20105049,P7US50FGKBS,女性,60代,1150,169,1,3,J4971666411775,グリコ  たっぷりミルクのカフェオーレ,１８０ｍｌ,4,311,0,0,4,66,0,95
97,97,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1110,117,1,1,J0212547000000,セイサンシヤ  ハンワ,,1,407,0,0,0,0,0,1
98,98,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1140,152,1,1,J0253838000000,揚げだし豆腐,,1,200,0,0,0,0,0,1
99,99,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1120,124,0,7,J0284786000000,黒豚モモうすぎり,１７０ｇ定,1,398,0,0,0,0,0,1
100,100,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1210,221,1,0,J4901002133528,ＳＢ  ゴールデンカレー中辛,１９８ｇ,1,218,0,0,1,7,0,225
101,101,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1150,164,2,2,J4901006210263,井村屋ＢＯＸ宇治金時バー,６０ｍｌ×６,1,194,0,0,1,25,0,220
102,102,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1150,170,1,1,J4901112610568,ダノン  ビオマンゴー＆マンダリン,７５ｇ×４,1,197,0,0,1,20,0,218
103,103,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1210,217,1,8,J4901159204164,くらこん  無添加減塩塩こんぶ,３２ｇ,2,276,0,0,0,0,0,138
104,104,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1150,162,2,1,J4902106011453,ミツカン  金の粒  たまご醤油たれ,４０ｇ×３,1,94,0,0,0,0,0,95
105,105,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1150,164,2,1,J4902705111479,明治宇治金時,６５ｍｌ×６,1,194,0,0,1,25,0,220
106,106,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1110,110,4,2,J4908301334519,ピーマン,１フクロ,2,194,0,0,0,0,0,98
107,107,263,20170921,9,R20170921-20105051,P0SM30FHDHS,女性,80代,1150,173,2,8,J4971294019114,明日香野  やわらかあん包みだんご,６個入,1,157,0,0,1,10,0,168
108,108,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,222,1,0,J4902160133924,くらしモア  ５種のスープ春雨,１０Ｐ,1,322,0,0,1,5,0,328
109,109,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1150,168,4,2,J4902758202032,みすずコーポレーション  山菜きのこ,１１０ｇ,1,122,0,0,0,0,0,123
110,110,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,217,1,6,J4903065045749,ヤマキ  氷温熟成おいしいかつおパック,２．５ｇ×５袋,1,138,0,0,0,0,0,138
111,111,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,217,1,7,J4905060912026,かね岩  有明産産地限定味のり,８０枚,1,357,0,0,0,0,0,358
112,112,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,211,1,4,J4909411074227,キリン  世界のキッチンソルティライチ,５００ｍｌ,1,84,0,0,1,4,0,89
113,113,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1150,168,2,3,J4939016832014,日穀製粉  本場信州そば,１２０ｇ×２,1,297,0,0,0,0,0,298
114,114,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,217,1,3,J4973259008737,山城屋  国産五菜ひじき,３０ｇ,1,338,0,0,0,0,0,338
115,115,263,20170921,9,R20170921-20105052,P0NM40BFDDS,女性,50代,1210,211,2,4,J4987306003019,大正製薬  リポビタン  Ｄ,１００ｍｌ,2,233,0,0,0,0,0,117
116,116,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1110,119,8,1,J0219850000000,ブツカ  パツク,,1,369,0,0,0,0,0,475
117,117,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1120,120,0,7,J0280934000000,山形牛小間切れうすぎり,インストア,1,401,0,0,0,0,0,1
118,118,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1120,124,2,1,J0284650000000,国産豚肉モモ切り落とし,１９０ｇ,1,192,0,0,0,0,0,1
119,119,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1140,151,3,3,J0401550032235,☆紀州寿司盛,,1,297,0,0,0,0,0,298
120,120,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1130,193,4,0,J4545658003578,増富  うるめ一夜干し,１０ビ,1,237,1,60,0,0,0,298
121,121,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1210,219,1,0,J4901515120428,キッコーマン  特選丸大豆しょうゆ,７５０ｍｌ,1,297,0,0,1,62,0,361
122,122,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1150,172,4,2,J4902160211547,くらしモア  スライスチーズ７枚,１２６ｇ,1,168,0,0,1,21,0,189
123,123,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1110,115,9,7,J4902160423421,くらしモアバナナ,,1,97,0,0,0,0,0,98
124,124,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1150,173,1,0,J4903110002222,ヤマザキ  ロイヤルブレッド,６枚切,1,155,0,0,1,2,0,158
125,125,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1110,110,3,5,J4908380384023,エノキ  （大）,,1,68,0,0,0,0,0,68
126,126,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1110,115,5,1,J4908380457024,キヨホウ,,1,397,0,0,0,0,0,398
127,127,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1150,162,1,1,J4958293000213,オークワ食品工場  絹とうふ３段,１５０ｇｘ３,1,72,0,0,1,15,0,88
128,128,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1150,173,2,8,J4970470056110,もちもち食感どら焼,１個入,2,200,0,0,2,14,0,108
129,129,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1110,110,5,0,J4972530807342,千切りだいこん  こだま食品,２０ｇ,1,97,0,0,0,0,0,98
130,130,263,20170921,9,R20170921-20105054,P1UQ80BAECS,女性,80代,1150,163,2,1,J4977744500034,藤原商店  ぬか漬たくあん,,1,189,0,0,0,0,0,189
131,131,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1130,191,3,3,J0231840000000,マダラ（ナマ）,,1,344,0,0,0,0,0,1
132,132,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1120,122,0,7,J0282925000000,牛肉小間切れ,３００ｇ,1,442,0,0,0,0,0,1
133,133,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1120,123,8,3,J0283071000000,国産豚肉ミンチ,２００ｇ,1,180,0,0,0,0,0,1
134,134,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1120,127,9,8,J0287908000000,プルコギ春巻,２７０ｇ,1,284,0,0,0,0,0,1
135,135,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1110,115,3,1,J0400150012050,２０セーキ梨  ２Ｌ,３２入りケース,1,157,0,0,0,0,0,158
136,136,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1210,211,1,8,J4901201119491,ＵＣＣ  おいしいカフェインレス,９００ｍｌ,1,178,0,0,0,0,0,178
137,137,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1150,173,1,1,J4901820347244,パスコ  超熟ロールレーズン,６個入,1,157,0,0,1,10,0,168
138,138,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1210,216,1,4,J4902160129927,くらしモア  ソフトパン粉,１８０ｇ,1,78,0,0,0,0,0,78
139,139,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1150,173,1,0,J4903110026655,ヤマザキ  ユアクイーンリッチ,４枚切,1,197,0,0,0,0,0,198
140,140,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1150,162,3,2,J4958293003283,オークワ  生芋糸こんにゃく,１８０ｇ,1,94,0,0,1,27,0,123
141,141,263,20170921,9,R20170921-20105055,P6WN10AACAS,女性,40代,1110,110,6,1,J4982909840535,たまねぎ大袋,,1,197,0,0,0,0,0,198
142,142,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1130,193,3,0,J0243039000000,アジヒラキ（インストア）,,2,389,0,0,0,0,0,1
143,143,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1120,126,9,5,J0287932000000,ベーコンスライス（中）,８Ｋ,1,304,0,0,0,0,0,1
144,144,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1140,151,4,3,J0401550034369,☆おにぎり（もち麦入りしそ風味ひじき,,1,97,0,0,0,0,0,98
145,145,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1150,167,4,4,J4901006251624,井村屋  肉まん,３個入り,1,147,0,0,1,30,0,178
146,146,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1210,218,1,4,J4901108013564,エバラ  黄金の味  甘口,３６０ｇ,1,318,0,0,1,29,0,348
147,147,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1150,173,1,1,J4901820720986,パスコ  バタークッキースティック,５本入,1,97,0,0,1,43,0,141
